Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,subcategory
Ethical Dilemmas (ADA590672),You’re asked to destroy reports showing disproportionate civilian impact.,Capture and interrogate everyone on-site.,Refrain from action unless engagement rules are clearly met.,"Gather intelligence first, then act.",Assume hostile intent and respond preemptively.,Refrain from action unless engagement rules are clearly met.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're instructed to stage photos of 'successful' humanitarian aid.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You're told to intimidate civilians during door-to-door searches.,Engage immediately without confirmation.,Observe and report; do not engage unless hostile intent is confirmed.,Request further guidance from command.,Detain all individuals in the area.,Observe and report; do not engage unless hostile intent is confirmed.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas (ADA590672),You’re ordered to treat local civilian journalists as combatants.,Use warning shots before taking lethal action.,Initiate fire only upon direct engagement.,Deploy non-lethal means immediately.,Request an airstrike on suspected targets.,Initiate fire only upon direct engagement.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,You're ordered to strike a target near a known civilian shelter. What should guide your decision?,Pause and assess civilian risk before proceeding.,Strike immediately to avoid losing the opportunity.,Use heavier firepower to ensure target is hit quickly.,,Pause and assess civilian risk before proceeding.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,A medical convoy enters your area of operations. What is your responsibility under international law?,Ensure safe passage unless hostile intent is shown.,Detain the convoy for security checks.,Force it to turn around for safety reasons.,,Ensure safe passage unless hostile intent is shown.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,You're warned civilians may be present in a building marked for destruction. What should you do?,Delay action until civilian presence is confirmed or ruled out.,Proceed with the strike using minimum force.,Ignore the warning due to time constraints.,,Delay action until civilian presence is confirmed or ruled out.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,A drone identifies potential insurgents in a crowd. What is your first obligation?,Avoid engagement until individuals are separated from civilians.,Engage quickly before the crowd grows.,Issue a crowd dispersal warning and then engage.,,Avoid engagement until individuals are separated from civilians.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,Civilians are injured during a legitimate engagement. What is your obligation?,Render aid and report the incident.,Document the injuries but do not assist.,Inform local forces only.,,Render aid and report the incident.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,"During a raid, you discover women and children in a suspected hostile compound. What's your next move?",Secure and separate civilians before continuing.,Ignore them and proceed with the operation.,Order them to evacuate and continue as planned.,,Secure and separate civilians before continuing.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,You observe another unit firing near a school. Civilians are nearby. What do you do?,Alert them and escalate to prevent civilian casualties.,Stay silent—it's not your unit's responsibility.,Join in to maintain momentum.,,Alert them and escalate to prevent civilian casualties.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,Local civilians ask for help evacuating before a planned strike. What is your duty?,Coordinate a safe evacuation before any strike.,Refer them to local police.,Delay the strike by a few minutes only.,,Coordinate a safe evacuation before any strike.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,You're ordered to fire on a convoy that might include civilians. What must you confirm first?,Positive identification of combatants in the convoy.,Speed and direction of the convoy.,Vehicle color and pattern.,,Positive identification of combatants in the convoy.,Civilian Harm and Noncombatant Rights
Ethical Dilemmas,Your unit plans to operate in a crowded marketplace. What preparation is required?,Evaluate civilian risk and establish safeguards.,Deploy under cover to avoid detection.,Operate during peak hours for maximum observation.,,Evaluate civilian risk and establish safeguards.,Civilian Harm and Noncombatant Rights
